model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,0,1,3,-1,0.0,0.05,482166,482166,0,9446,999999999,9908,-1,50,0,false,3,7
NS,1,1,3,-1,0.0,0.05,481363,481363,0,9416,999999999,9874,-1,50,0,false,3,7
NS,2,1,3,-1,0.0,0.05,476816,476816,0,9295,999999999,9805,-1,50,0,false,3,7
NS,3,1,3,-1,0.0,0.05,478838,478838,0,9364,999999999,9828,-1,50,0,false,3,7
NS,4,1,3,-1,0.0,0.05,477897,477897,0,9362,999999999,9781,-1,50,0,false,3,7
NS,0,0,3,-1,0.0,0.05,481931,481931,0,9467,999999999,9928,-1,50,0,false,3,7
NS,1,0,3,-1,0.0,0.05,482945,482945,0,9471,999999999,9901,-1,50,0,false,3,7
NS,2,0,3,-1,0.0,0.05,483418,483418,0,9498,999999999,9940,-1,50,0,false,3,7
NS,3,0,3,-1,0.0,0.05,482875,482875,0,9460,999999999,9898,-1,50,0,false,3,7
NS,4,0,3,-1,0.0,0.05,483389,483389,0,9478,999999999,9887,-1,50,0,false,3,7
NS,0,1,3,-1,0.0,0.05,479244,479244,0,9320,999999999,9825,-1,50,0,false,3,7
NS,1,1,3,-1,0.0,0.05,481880,481880,0,9409,999999999,9919,-1,50,0,false,3,7
NS,2,1,3,-1,0.0,0.05,482293,482293,0,9435,999999999,9911,-1,50,0,false,3,7
NS,3,1,3,-1,0.0,0.05,482450,482450,0,9422,999999999,9965,-1,50,0,false,3,7
NS,4,1,3,-1,0.0,0.05,479202,479202,0,9346,999999999,9865,-1,50,0,false,3,7
NS,0,0,3,-1,0.0,0.05,483535,483535,0,9502,999999999,9956,-1,50,0,false,3,7
NS,1,0,3,-1,0.0,0.05,483392,483392,0,9514,999999999,9897,-1,50,0,false,3,7
NS,2,0,3,-1,0.0,0.05,484319,484319,0,9536,999999999,9917,-1,50,0,false,3,7
NS,3,0,3,-1,0.0,0.05,483558,483558,0,9511,999999999,9908,-1,50,0,false,3,7
NS,4,0,3,-1,0.0,0.05,483204,483204,0,9504,999999999,9877,-1,50,0,false,3,7
NS,0,1,3,-1,0.0,0.05,479126,479126,0,9359,999999999,9833,-1,50,0,false,3,7
NS,1,1,3,-1,0.0,0.05,483960,483960,0,9411,999999999,9932,-1,50,0,false,3,7
NS,2,1,3,-1,0.0,0.05,478207,478207,0,9281,999999999,9807,-1,50,0,false,3,7
NS,3,1,3,-1,0.0,0.05,482535,482535,0,9450,999999999,9886,-1,50,0,false,3,7
NS,4,1,3,-1,0.0,0.05,478328,478328,0,9287,999999999,9800,-1,50,0,false,3,7
NS,0,0,3,-1,0.0,0.05,484866,484866,0,9589,999999999,9842,-1,50,0,false,3,7
NS,1,0,3,-1,0.0,0.05,484845,484845,0,9575,999999999,9889,-1,50,0,false,3,7
NS,2,0,3,-1,0.0,0.05,485522,485522,0,9597,999999999,9914,-1,50,0,false,3,7
NS,3,0,3,-1,0.0,0.05,485520,485520,0,9598,999999999,9924,-1,50,0,false,3,7
NS,4,0,3,-1,0.0,0.05,486148,486148,0,9611,999999999,9897,-1,50,0,false,3,7
NS,0,1,6,-1,0.0,0.05,990651,990651,0,19178,999999999,20192,-1,50,0,false,3,7
NS,1,1,6,-1,0.0,0.05,1023587,1023587,0,20106,999999999,20664,-1,50,0,false,3,7
NS,2,1,6,-1,0.0,0.05,990397,990397,0,19210,999999999,20202,-1,50,0,false,3,7
NS,3,1,6,-1,0.0,0.05,1021162,1021162,0,20017,999999999,20706,-1,50,0,false,3,7
NS,4,1,6,-1,0.0,0.05,1021452,1021452,0,20018,999999999,20718,-1,50,0,false,3,7
NS,0,0,6,-1,0.0,0.05,1024409,1024409,0,20319,999999999,20717,-1,50,0,false,3,7
NS,1,0,6,-1,0.0,0.05,1022036,1022036,0,20282,999999999,20682,-1,50,0,false,3,7
NS,2,0,6,-1,0.0,0.05,1023732,1023732,0,20295,999999999,20717,-1,50,0,false,3,7
NS,3,0,6,-1,0.0,0.05,1023222,1023222,0,20287,999999999,20706,-1,50,0,false,3,7
NS,4,0,6,-1,0.0,0.05,1025194,1025194,0,20342,999999999,20694,-1,50,0,false,3,7
NS,0,1,6,-1,0.0,0.05,991903,991903,0,19340,999999999,20291,-1,50,0,false,3,7
